city,coordinates,latitude,longitude
(Ilagan),17°08′39″N 121°53′20″E,17.14417,121.88889
(Iligan),8°13′43″N 124°14′17″E,8.22861,124.23806
(Iloilo City),10°42′09″N 122°34′08″E,10.7025,122.56889
(Imus),14°25′08″N 120°55′52″E,14.41889,120.93111
(Iriga),13°25′20″N 123°24′46″E,13.42222,123.41278
(Isabela),6°42′20″N 121°58′21″E,6.70556,121.9725
(Kabankalan),9°59′25″N 122°48′59″E,9.99028,122.81639
(Kidapawan),7°00′30″N 125°05′30″E,7.00833,125.09167
(Koronadal),6°30′01″N 124°50′37″E,6.50028,124.84361
(La Carlota),10°25′31″N 122°55′21″E,10.42528,122.9225
(Lamitan),6°39′29″N 122°08′13″E,6.65806,122.13694
(Laoag),18°11′50″N 120°35′37″E,18.19722,120.59361
(Lapu-Lapu),10°17′59″N 123°58′53″E,10.29972,123.98139
(Las Piñas),14°28′50″N 120°58′55″E,14.48056,120.98194
(Legazpi),13°08′20″N 123°44′03″E,13.13889,123.73417
(Ligao),13°14′28″N 123°32′14″E,13.24111,123.53722
(Lipa),13°56′29″N 121°09′51″E,13.94139,121.16417
(Lucena),13°55′34″N 121°36′51″E,13.92611,121.61417
(Maasin),10°08′01″N 124°50′46″E,10.13361,124.84611
(Mabalacat),15°13′22″N 120°34′24″E,15.22278,120.57333
(Makati),14°33′24″N 121°01′25″E,14.55667,121.02361
(Malabon),14°40′31″N 120°57′26″E,14.67528,120.95722
(Malaybalay),8°09′19″N 125°07′49″E,8.15528,125.13028
(Malolos),14°50′37″N 120°48′41″E,14.84361,120.81139
(Mandaluyong),14°34′39″N 121°02′00″E,14.5775,121.03333
(Mandaue),10°20′37″N 123°56′32″E,10.34361,123.94222
(Manila),14°35′26″N 120°58′48″E,14.59056,120.98
(Marawi),8°00′12″N 124°17′12″E,8.00333,124.28667
(Marikina),14°37′59″N 121°05′57″E,14.63306,121.09917
(Masbate City),12°22′14″N 123°37′30″E,12.37056,123.625
(Mati),6°57′41″N 126°12′53″E,6.96139,126.21472
(Meycauayan),14°44′04″N 120°57′26″E,14.73444,120.95722
(Muñoz),14°23′38″N 121°02′28″E,14.39389,121.04111
(Muntinlupa),15°42′47″N 120°54′15″E,15.71306,120.90417
(Naga),13°37′26″N 123°11′06″E,13.62389,123.185
(Naga),10°12′33″N 123°45′24″E,10.20917,123.75667
(Navotas),14°39′25″N 120°56′52″E,14.65694,120.94778
(Olongapo),14°49′53″N 120°17′01″E,14.83139,120.28361
(Ormoc),11°00′16″N 124°36′27″E,11.00444,124.6075
(Oroquieta),8°29′07″N 123°48′21″E,8.48528,123.80583
(Ozamiz),8°10′09″N 123°50′43″E,8.16917,123.84528
(Pagadian),7°49′30″N 123°26′11″E,7.825,123.43639
(Palayan),15°32′27″N 121°05′03″E,15.54083,121.08417
(Panabo),7°18′01″N 125°40′57″E,7.30028,125.6825
(Parañaque),14°30′03″N 120°59′29″E,14.50083,120.99139
(Pasay),14°32′37″N 120°59′43″E,14.54361,120.99528
(Pasig),14°33′38″N 121°04′36″E,14.56056,121.07667
(Passi),11°07′03″N 122°38′36″E,11.1175,122.64333
(Puerto Princesa),9°44′15″N 118°44′06″E,9.7375,118.735
(Quezon City),14°39′03″N 121°02′55″E,14.65083,121.04861
(Roxas),11°35′22″N 122°45′00″E,11.58944,122.75
(Sagay),10°53′46″N 123°24′55″E,10.89611,123.41528
(Samal),7°05′16″N 125°44′24″E,7.08778,125.74
(San Carlos (Negros Occidental)),10°29′34″N 123°24′34″E,10.49278,123.40944
(San Carlos (Pangasinan)),15°55′36″N 120°20′44″E,15.92667,120.34556
(San Fernando (La Union)),16°37′00″N 120°19′05″E,16.61667,120.31806
(San Fernando (Pampanga)),15°01′42″N 120°41′38″E,15.02833,120.69389
(San Jose),15°47′30″N 120°59′21″E,15.79167,120.98917
(San Jose del Monte),14°48′40″N 121°02′57″E,14.81111,121.04917
(San Juan),14°36′17″N 121°01′48″E,14.60472,121.03
(San Pablo),14°04′12″N 121°19′32″E,14.07,121.32556
(San Pedro),14°21′49″N 121°03′11″E,14.36361,121.05306
(Santo Tomas),14°03′02″N 121°06′36″E,14.05056,121.11
(Santa Rosa),14°18′51″N 121°06′44″E,14.31417,121.11222
(Santiago),16°42′14″N 121°33′50″E,16.70389,121.56389
(Silay),10°47′53″N 122°58′33″E,10.79806,122.97583
(Sipalay),9°45′00″N 122°24′07″E,9.75,122.40194
(Sorsogon City),12°58′15″N 124°00′19″E,12.97083,124.00528
(Surigao City),9°47′30″N 125°29′34″E,9.79167,125.49278
(Tabaco),13°21′33″N 123°43′47″E,13.35917,123.72972
(Tabuk),17°24′49″N 121°26′38″E,17.41361,121.44389
(Tacloban),11°14′35″N 125°00′29″E,11.24306,125.00806
(Tacurong),6°41′18″N 124°40′43″E,6.68833,124.67861
(Tagaytay),14°06′54″N 120°57′49″E,14.115,120.96361
(Tagbilaran),9°38′26″N 123°51′23″E,9.64056,123.85639
(Taguig),14°31′36″N 121°04′28″E,14.52667,121.07444
(Tagum),7°26′48″N 125°48′34″E,7.44667,125.80944
(Talisay (Cebu)),10°14′44″N 123°50′52″E,10.24556,123.84778
(Talisay (Negros Occidental)),10°44′14″N 122°58′02″E,10.73722,122.96722
(Tanauan),14°05′07″N 121°09′10″E,14.08528,121.15278
(Tandag),9°04′47″N 126°11′51″E,9.07972,126.1975
(Tangub),8°03′45″N 123°45′02″E,8.0625,123.75056
(Tanjay),9°30′58″N 123°09′26″E,9.51611,123.15722
(Tarlac City),15°29′09″N 120°35′22″E,15.48583,120.58944
(Tayabas),14°01′35″N 121°35′30″E,14.02639,121.59167
(Toledo),10°22′48″N 123°38′21″E,10.38,123.63917
(Trece Martires),14°16′51″N 120°52′03″E,14.28083,120.8675
(Tuguegarao),17°36′45″N 121°43′58″E,17.6125,121.73278
(Urdaneta),15°58′31″N 120°34′01″E,15.97528,120.56694
(Valencia),7°54′10″N 125°05′23″E,7.90278,125.08972
(Valenzuela),14°42′28″N 120°56′46″E,14.70778,120.94611
(Victorias),10°53′46″N 123°04′21″E,10.89611,123.0725
(Vigan),17°34′22″N 120°23′12″E,17.57278,120.38667
(Zamboanga City),6°54′17″N 122°04′35″E,6.90472,122.07639
