,title,id,ontologyId,resultType,address,position,access,distance,categories,chains,references,contacts,openingHours,foodTypes,lat,lng
10,Phoenix Minalin,here:pds:place:608jx7ps-f73fd810db4705d4e1034906a17ae683,here:cm:ontology:petrol_gasoline_station,place,"{'label': 'Phoenix Minalin, Jesus St, 2009 Angeles City, Philippines', 'countryCode': 'PHL', 'countryName': 'Philippines', 'state': 'Central Luzon', 'county': 'Pampanga', 'city': 'Angeles City', 'district': 'Pampang', 'street': 'Jesus St', 'postalCode': '2009'}","{'lat': 15.14022, 'lng': 120.588}","[{'lat': 15.14024, 'lng': 120.58801}]",34,"[{'id': '700-7600-0116', 'name': 'Gas Station', 'primary': True}]",[{'id': '963'}],"[{'supplier': {'id': 'core'}, 'id': '1176044616'}]",,,,15.14022,120.588
11,Caltex,here:pds:place:608wdty0-5660746a699745a7861db0b8b7b24463,here:cm:ontology:petrol_gasoline_station,place,"{'label': 'Caltex, Henson St, 2009 Angeles City, Philippines', 'countryCode': 'PHL', 'countryName': 'Philippines', 'state': 'Central Luzon', 'county': 'Pampanga', 'city': 'Angeles City', 'district': 'Pampang', 'street': 'Henson St', 'postalCode': '2009'}","{'lat': 15.14322, 'lng': 120.58822}","[{'lat': 15.1432, 'lng': 120.58828}]",361,"[{'id': '700-7600-0116', 'name': 'Gas Station', 'primary': True}, {'id': '700-7850-0122', 'name': 'Car Repair'}]",[{'id': '878'}],"[{'supplier': {'id': 'core'}, 'id': '1048342228'}]","[{'phone': [{'value': '+634553227492'}], 'www': [{'value': 'http://www.caltex.com/ph/'}, {'value': 'https://www.caltex.com/ph/en.html', 'categories': [{'id': '700-7600-0116'}]}]}]",,,15.14322,120.58822
12,Petron,here:pds:place:608xjxn4-24e54dd1b51b079708191b2a0cbafc7f,here:cm:ontology:petrol_gasoline_station,place,"{'label': 'Petron, P. Zamora, 2009 Angeles City, Philippines', 'countryCode': 'PHL', 'countryName': 'Philippines', 'state': 'Central Luzon', 'county': 'Pampanga', 'city': 'Angeles City', 'district': 'Pampang', 'street': 'P. Zamora', 'postalCode': '2009'}","{'lat': 15.14333, 'lng': 120.58655}","[{'lat': 15.14333, 'lng': 120.58655}]",393,"[{'id': '700-7600-0116', 'name': 'Gas Station', 'primary': True}]",,,[{'phone': [{'value': '+634588871721'}]}],,,15.14333,120.58655
13,Caltex Henson,here:pds:place:608wdty0-279fffc4e383474280351935c3c2e1a6,here:cm:ontology:petrol_gasoline_station,place,"{'label': 'Caltex Henson, Henson St, 2009 Angeles City, Philippines', 'countryCode': 'PHL', 'countryName': 'Philippines', 'state': 'Central Luzon', 'county': 'Pampanga', 'city': 'Angeles City', 'district': 'Santa Teresita', 'street': 'Henson St', 'postalCode': '2009'}","{'lat': 15.14354, 'lng': 120.58837}","[{'lat': 15.14354, 'lng': 120.58836}]",399,"[{'id': '700-7600-0116', 'name': 'Gas Station', 'primary': True}]",,,"[{'phone': [{'value': '+634588884269'}], 'www': [{'value': 'https://www.caltex.com'}]}]",,,15.14354,120.58837
14,Petron,here:pds:place:608xjxn4-f249b83d0bc70d8895d0b595c0049d76,here:cm:ontology:petrol_gasoline_station,place,"{'label': 'Petron, Gail, 2009 Angeles City, Philippines', 'countryCode': 'PHL', 'countryName': 'Philippines', 'state': 'Central Luzon', 'county': 'Pampanga', 'city': 'Angeles City', 'district': 'Pampang', 'street': 'Gail', 'postalCode': '2009'}","{'lat': 15.13765, 'lng': 120.58364}","[{'lat': 15.13765, 'lng': 120.58364}]",516,"[{'id': '700-7600-0116', 'name': 'Gas Station', 'primary': True}]",,,[{'phone': [{'value': '+639193490730'}]}],,,15.13765,120.58364
15,One Titan,here:pds:place:608wdty0-a90c7eeb96404c4fad2810c4a8260e26,here:cm:ontology:petrol_gasoline_station,place,"{'label': 'One Titan, Rizal, 2009 Angeles City, Philippines', 'countryCode': 'PHL', 'countryName': 'Philippines', 'state': 'Central Luzon', 'county': 'Pampanga', 'city': 'Angeles City', 'district': 'Santa Teresita', 'street': 'Rizal', 'postalCode': '2009'}","{'lat': 15.14405, 'lng': 120.59042}","[{'lat': 15.14404, 'lng': 120.59044}]",532,"[{'id': '700-7600-0116', 'name': 'Gas Station', 'primary': True}]",,"[{'supplier': {'id': 'core'}, 'id': '1205957901'}]",,,,15.14405,120.59042
16,PTT,here:pds:place:608wdtwp-233b1de92ef2470eb985ad3848aa96cf,here:cm:ontology:petrol_gasoline_station,place,"{'label': 'PTT, Rizal St, 2009 Angeles City, Philippines', 'countryCode': 'PHL', 'countryName': 'Philippines', 'state': 'Central Luzon', 'county': 'Pampanga', 'city': 'Angeles City', 'district': 'Pampang', 'street': 'Rizal St', 'postalCode': '2009'}","{'lat': 15.13545, 'lng': 120.58551}","[{'lat': 15.13544, 'lng': 120.58553}]",562,"[{'id': '700-7600-0116', 'name': 'Gas Station', 'primary': True}]",[{'id': '6998'}],"[{'supplier': {'id': 'core'}, 'id': '1097222872'}]",,,,15.13545,120.58551
17,Central Fuel,here:pds:place:608wdtwp-1a1cc46138164b7889447078d4512118,here:cm:ontology:petrol_gasoline_station,place,"{'label': 'Central Fuel, Miranda Ext, 2009 Angeles City, Philippines', 'countryCode': 'PHL', 'countryName': 'Philippines', 'state': 'Central Luzon', 'county': 'Pampanga', 'city': 'Angeles City', 'district': 'Pampang', 'street': 'Miranda Ext', 'postalCode': '2009'}","{'lat': 15.1419, 'lng': 120.58269}","[{'lat': 15.14173, 'lng': 120.58239}]",586,"[{'id': '700-7600-0116', 'name': 'Gas Station', 'primary': True}]",,,,"[{'text': ['Mon-Sun: 00:00 - 24:00'], 'isOpen': True, 'structured': [{'start': 'T000000', 'duration': 'PT24H00M', 'recurrence': 'FREQ:DAILY;BYDAY:MO,TU,WE,TH,FR,SA,SU'}]}]",,15.1419,120.58269
18,Caltex,here:pds:place:608wdty0-51c3aa7fac5f4379a51687a0d84a65ae,here:cm:ontology:petrol_gasoline_station,place,"{'label': 'Caltex, Sto. Entiero St, 2009 Angeles City, Philippines', 'countryCode': 'PHL', 'countryName': 'Philippines', 'state': 'Central Luzon', 'county': 'Pampanga', 'city': 'Angeles City', 'district': 'San Nicolas', 'street': 'Sto. Entiero St', 'postalCode': '2009'}","{'lat': 15.13527, 'lng': 120.59096}","[{'lat': 15.13527, 'lng': 120.59096}]",627,"[{'id': '700-7600-0116', 'name': 'Gas Station', 'primary': True}]",,,,,,15.13527,120.59096
19,Shell Service Bay,here:pds:place:608jx7ps-7c384f341f61090b38f0813ebb6bdcc8,here:cm:ontology:petrol_gasoline_station,place,"{'label': 'Shell Service Bay, Henson St, 2009 Angeles City, Philippines', 'countryCode': 'PHL', 'countryName': 'Philippines', 'state': 'Central Luzon', 'county': 'Pampanga', 'city': 'Angeles City', 'district': 'Santa Teresita', 'street': 'Henson St', 'postalCode': '2009'}","{'lat': 15.14562, 'lng': 120.58888}","[{'lat': 15.14563, 'lng': 120.58886}]",636,"[{'id': '700-7600-0116', 'name': 'Gas Station', 'primary': True}, {'id': '700-7850-0122', 'name': 'Car Repair'}]",[{'id': '10'}],"[{'supplier': {'id': 'core'}, 'id': '1097221635'}]",,,,15.14562,120.58888
20,Flying V,here:pds:place:608jx7ps-400d1870129b09de1b73153790484add,here:cm:ontology:petrol_gasoline_station,place,"{'label': 'Flying V, P. Oliveros St, 1870 Antipolo, Philippines', 'countryCode': 'PHL', 'countryName': 'Philippines', 'state': 'Calabarzon', 'county': 'Rizal', 'city': 'Antipolo', 'district': 'Mayamot', 'street': 'P. Oliveros St', 'postalCode': '1870'}","{'lat': 14.58763, 'lng': 121.17349}","[{'lat': 14.58777, 'lng': 121.17347}]",263,"[{'id': '700-7600-0116', 'name': 'Gas Station', 'primary': True}]",[{'id': '8672'}],"[{'supplier': {'id': 'core'}, 'id': '1130542762'}]",[{'www': [{'value': 'http://www.flying-v-gas.com/'}]}],,,14.58763,121.17349
21,Ion Matrix,here:pds:place:608wdw4v-8c0bd331e21e443a822db18968438015,here:cm:ontology:petrol_gasoline_station,place,"{'label': 'Ion Matrix, Gen. Luna St, 1870 Antipolo, Philippines', 'countryCode': 'PHL', 'countryName': 'Philippines', 'state': 'Calabarzon', 'county': 'Rizal', 'city': 'Antipolo', 'district': 'Mayamot', 'street': 'Gen. Luna St', 'postalCode': '1870'}","{'lat': 14.58782, 'lng': 121.17284}","[{'lat': 14.58782, 'lng': 121.17282}]",336,"[{'id': '700-7600-0116', 'name': 'Gas Station', 'primary': True}]",,"[{'supplier': {'id': 'core'}, 'id': '1192819862'}]",,,,14.58782,121.17284
22,Petrol/Gasoline Station,here:pds:place:608xjxn4-73c898c18ee906d1d50815c01ba92eb8,here:cm:ontology:petrol_gasoline_station,place,"{'label': 'Petrol/Gasoline Station, Martinez St, 1870 Antipolo, Philippines', 'countryCode': 'PHL', 'countryName': 'Philippines', 'state': 'Calabarzon', 'county': 'Rizal', 'city': 'Antipolo', 'district': 'Mayamot', 'street': 'Martinez St', 'postalCode': '1870'}","{'lat': 14.58707, 'lng': 121.17261}","[{'lat': 14.58707, 'lng': 121.17261}]",347,"[{'id': '700-7600-0116', 'name': 'Gas Station', 'primary': True}]",,,,,,14.58707,121.17261
23,Antipolo Petron Service Center,here:pds:place:608wdw4v-a366e3352dd34b339b0fadac32f976ed,here:cm:ontology:petrol_gasoline_station,place,"{'label': 'Antipolo Petron Service Center, P. Oliveros St 182, 1870 Antipolo, Philippines', 'countryCode': 'PHL', 'countryName': 'Philippines', 'state': 'Calabarzon', 'county': 'Rizal', 'city': 'Antipolo', 'district': 'Mayamot', 'street': 'P. Oliveros St', 'postalCode': '1870', 'houseNumber': '182'}","{'lat': 14.58752, 'lng': 121.17234}","[{'lat': 14.58765, 'lng': 121.17232}]",381,"[{'id': '700-7600-0116', 'name': 'Gas Station', 'primary': True}, {'id': '600-6200-0063', 'name': 'Department Store'}]",,,"[{'phone': [{'value': '+63286502327'}], 'www': [{'value': 'http://www.petron.com', 'categories': [{'id': '700-7600-0116'}]}]}]",,,14.58752,121.17234
24,Petron,here:pds:place:608wdw4v-354565423dd94683b60a70607f4b1c57,here:cm:ontology:petrol_gasoline_station,place,"{'label': 'Petron, P. Oliveros St, 1870 Antipolo, Philippines', 'countryCode': 'PHL', 'countryName': 'Philippines', 'state': 'Calabarzon', 'county': 'Rizal', 'city': 'Antipolo', 'district': 'Mayamot', 'street': 'P. Oliveros St', 'postalCode': '1870'}","{'lat': 14.5876, 'lng': 121.17178}","[{'lat': 14.5876, 'lng': 121.17178}]",442,"[{'id': '700-7600-0116', 'name': 'Gas Station', 'primary': True}]",[{'id': '7065'}],"[{'supplier': {'id': 'core'}, 'id': '1192819772'}]",,,,14.5876,121.17178
25,King Fuel,here:pds:place:608wdw4v-33429495ad8e4f66835638a9df41ee6e,here:cm:ontology:petrol_gasoline_station,place,"{'label': 'King Fuel, J. P. Rizal St, 1870 Antipolo, Philippines', 'countryCode': 'PHL', 'countryName': 'Philippines', 'state': 'Calabarzon', 'county': 'Rizal', 'city': 'Antipolo', 'district': 'Mayamot', 'street': 'J. P. Rizal St', 'postalCode': '1870'}","{'lat': 14.58944, 'lng': 121.17184}","[{'lat': 14.58944, 'lng': 121.17181}]",511,"[{'id': '700-7600-0116', 'name': 'Gas Station', 'primary': True}]",,"[{'supplier': {'id': 'core'}, 'id': '1192819771'}]",,,,14.58944,121.17184
26,Usa88,here:pds:place:608wdw4v-8a6e7c5dd58a4e0e97b0c633b9492e83,here:cm:ontology:petrol_gasoline_station,place,"{'label': 'Usa88, Sen. L. Sumulong Memorial Cir, 1870 Antipolo, Philippines', 'countryCode': 'PHL', 'countryName': 'Philippines', 'state': 'Calabarzon', 'county': 'Rizal', 'city': 'Antipolo', 'district': 'Mayamot', 'street': 'Sen. L. Sumulong Memorial Cir', 'postalCode': '1870'}","{'lat': 14.58773, 'lng': 121.17051}","[{'lat': 14.58773, 'lng': 121.17051}]",579,"[{'id': '700-7600-0116', 'name': 'Gas Station', 'primary': True}]",,"[{'supplier': {'id': 'core'}, 'id': '1130543132'}]",[{'phone': [{'value': '+63286508356'}]}],,,14.58773,121.17051
27,Shell,here:pds:place:608wdw4v-bcbb4af3bbff4d23a24f7706185b6f71,here:cm:ontology:petrol_gasoline_station,place,"{'label': 'Shell, Sen. L. Sumulong Memorial Cir, 1870 Antipolo, Philippines', 'countryCode': 'PHL', 'countryName': 'Philippines', 'state': 'Calabarzon', 'county': 'Rizal', 'city': 'Antipolo', 'district': 'Mayamot', 'street': 'Sen. L. Sumulong Memorial Cir', 'postalCode': '1870'}","{'lat': 14.58758, 'lng': 121.17033}","[{'lat': 14.58757, 'lng': 121.17035}]",596,"[{'id': '700-7600-0116', 'name': 'Gas Station', 'primary': True}]",[{'id': '10'}],"[{'supplier': {'id': 'core'}, 'id': '1192819774'}]","[{'www': [{'value': 'http://www.shell.com.ph/'}, {'value': 'https://find.shell.com/ph/fuel/12569743-sh-oliveros-antipolo'}], 'email': [{'value': 'shellcustomercare@shell.com'}]}]",,,14.58758,121.17033
28,Petro Gazz,here:pds:place:608wdw5j-24ea4b5bbe344e2c80c0aa3a7ef6c8ea,here:cm:ontology:petrol_gasoline_station,place,"{'label': 'Petro Gazz, J. P. Rizal St, 1870 Antipolo, Philippines', 'countryCode': 'PHL', 'countryName': 'Philippines', 'state': 'Calabarzon', 'county': 'Rizal', 'city': 'Antipolo', 'district': 'Mayamot', 'street': 'J. P. Rizal St', 'postalCode': '1870'}","{'lat': 14.59091, 'lng': 121.17199}","[{'lat': 14.59091, 'lng': 121.17185}]",605,"[{'id': '700-7600-0116', 'name': 'Gas Station', 'primary': True}]",,"[{'supplier': {'id': 'core'}, 'id': '1203934048'}]",,,,14.59091,121.17199
29,Shell,here:pds:place:608wdw4v-c3d7216903034ad7ac97fe8a5edb8afd,here:cm:ontology:petrol_gasoline_station,place,"{'label': 'Shell, P. Oliveros St, 1870 Antipolo, Philippines', 'countryCode': 'PHL', 'countryName': 'Philippines', 'state': 'Calabarzon', 'county': 'Rizal', 'city': 'Antipolo', 'district': 'Mayamot', 'street': 'P. Oliveros St', 'postalCode': '1870'}","{'lat': 14.58735, 'lng': 121.17021}","[{'lat': 14.58735, 'lng': 121.17021}]",606,"[{'id': '700-7600-0116', 'name': 'Gas Station', 'primary': True}]",,,"[{'phone': [{'value': '+63288788888'}], 'www': [{'value': 'https://find.shell.com/ph/fuel/12569743-sh-oliveros-antipolo'}]}]","[{'text': ['Mon-Sun: 00:00 - 24:00'], 'isOpen': True, 'structured': [{'start': 'T000000', 'duration': 'PT24H00M', 'recurrence': 'FREQ:DAILY;BYDAY:MO,TU,WE,TH,FR,SA,SU'}]}]",,14.58735,121.17021
30,Prycegas,here:pds:place:608jx7ps-a047402e7db60f2c98ba190f4bff80b3,here:cm:ontology:petrol_gasoline_station,place,"{'label': 'Prycegas, San Juan St, 6100 Bacolod City, Philippines', 'countryCode': 'PHL', 'countryName': 'Philippines', 'state': 'Western Visayas', 'county': 'Negros Occidental', 'city': 'Bacolod City', 'district': 'Barangay 35 Pob.', 'street': 'San Juan St', 'postalCode': '6100'}","{'lat': 10.67861, 'lng': 122.94907}","[{'lat': 10.67859, 'lng': 122.9491}]",376,"[{'id': '700-7600-0116', 'name': 'Gas Station', 'primary': True}, {'id': '600-6900-0099', 'name': 'General Merchandise'}]",,"[{'supplier': {'id': 'core'}, 'id': '1135226059'}]",,,,10.67861,122.94907
31,Caltex,here:pds:place:608jx7ps-731c2d3b66cb0e5074fe978056557e9b,here:cm:ontology:petrol_gasoline_station,place,"{'label': 'Caltex, Gatuslao St, 6100 Bacolod City, Philippines', 'countryCode': 'PHL', 'countryName': 'Philippines', 'state': 'Western Visayas', 'county': 'Negros Occidental', 'city': 'Bacolod City', 'district': 'Barangay 15 Pob.', 'street': 'Gatuslao St', 'postalCode': '6100'}","{'lat': 10.67243, 'lng': 122.94882}","[{'lat': 10.67243, 'lng': 122.94882}]",496,"[{'id': '700-7600-0116', 'name': 'Gas Station', 'primary': True}]",[{'id': '878'}],"[{'supplier': {'id': 'core'}, 'id': '1135222020'}]","[{'phone': [{'value': '+633434346462'}], 'www': [{'value': 'https://www.caltex.com'}]}]","[{'text': ['Mon-Thu, Sat, Sun: 06:00 - 20:00'], 'isOpen': True, 'structured': [{'start': 'T060000', 'duration': 'PT14H00M', 'recurrence': 'FREQ:DAILY;BYDAY:MO,TU,WE,TH,SA,SU'}]}]",,10.67243,122.94882
32,Petron,here:pds:place:608jx7ps-42d7f96b9369010527e1ecf0488c3b73,here:cm:ontology:petrol_gasoline_station,place,"{'label': 'Petron, Burgos St, 6100 Bacolod City, Philippines', 'countryCode': 'PHL', 'countryName': 'Philippines', 'state': 'Western Visayas', 'county': 'Negros Occidental', 'city': 'Bacolod City', 'district': 'Barangay 15 Pob.', 'street': 'Burgos St', 'postalCode': '6100'}","{'lat': 10.67187, 'lng': 122.94973}","[{'lat': 10.6719, 'lng': 122.94974}]",505,"[{'id': '700-7600-0116', 'name': 'Gas Station', 'primary': True}]",[{'id': '7065'}],"[{'supplier': {'id': 'core'}, 'id': '1135224596'}, {'supplier': {'id': 'core'}, 'id': '1135224783'}]",,,,10.67187,122.94973
33,Flying V Gatuslao,here:pds:place:608w9zkt-bff9b83c01474206a0ee402ba0449bec,here:cm:ontology:petrol_gasoline_station,place,"{'label': 'Flying V Gatuslao, Burgos St, 6100 Bacolod City, Philippines', 'countryCode': 'PHL', 'countryName': 'Philippines', 'state': 'Western Visayas', 'county': 'Negros Occidental', 'city': 'Bacolod City', 'district': 'Barangay 15 Pob.', 'street': 'Burgos St', 'postalCode': '6100'}","{'lat': 10.67237, 'lng': 122.94863}","[{'lat': 10.67237, 'lng': 122.94863}]",514,"[{'id': '700-7600-0116', 'name': 'Gas Station', 'primary': True}]",,,,,,10.67237,122.94863
34,Petron Barangay 11,here:pds:place:608w9zkt-df500ac1d3a14540bdbdd820e41fdd75,here:cm:ontology:petrol_gasoline_station,place,"{'label': 'Petron Barangay 11, Locsin St, 6100 Bacolod City, Philippines', 'countryCode': 'PHL', 'countryName': 'Philippines', 'state': 'Western Visayas', 'county': 'Negros Occidental', 'city': 'Bacolod City', 'district': 'Barangay 15 Pob.', 'street': 'Locsin St', 'postalCode': '6100'}","{'lat': 10.67166, 'lng': 122.94972}","[{'lat': 10.67166, 'lng': 122.94972}]",527,"[{'id': '700-7600-0116', 'name': 'Gas Station', 'primary': True}]",,,,,,10.67166,122.94972
35,TOTAL,here:pds:place:608w9zkt-a40c92e05d7247f6a2e7980fcc5fa4a1,here:cm:ontology:petrol_gasoline_station,place,"{'label': 'TOTAL, Gatuslao St, 6100 Bacolod City, Philippines', 'countryCode': 'PHL', 'countryName': 'Philippines', 'state': 'Western Visayas', 'county': 'Negros Occidental', 'city': 'Bacolod City', 'district': 'Barangay 15 Pob.', 'street': 'Gatuslao St', 'postalCode': '6100'}","{'lat': 10.6718, 'lng': 122.949}","[{'lat': 10.67197, 'lng': 122.94862}]",546,"[{'id': '700-7600-0116', 'name': 'Gas Station', 'primary': True}]",[{'id': '35'}],"[{'supplier': {'id': 'core'}, 'id': '1220020672'}]",,"[{'text': ['Mon-Sun: 00:00 - 24:00'], 'isOpen': True, 'structured': [{'start': 'T000000', 'duration': 'PT24H00M', 'recurrence': 'FREQ:DAILY;BYDAY:MO,TU,WE,TH,FR,SA,SU'}]}]",,10.6718,122.949
